rtt	avg	min	max	stddev
10.0	2532.54	2528.0	2535.66	4.02
15.0	2610.14	2516.19	2709.45	96.74
20.0	2584.41	2545.71	2608.07	33.79
25.0	2521.37	2460.12	2609.06	77.91
30.0	2587.51	2546.88	2639.62	47.43
35.0	2548.03	2475.12	2605.61	66.58
40.0	2615.52	2463.07	2696.36	132.11
45.0	2548.05	2432.49	2679.99	124.56
50.0	2611.41	2526.42	2667.96	74.93
55.0	2560.05	2520.52	2608.81	44.86
60.0	2564.99	2537.26	2603.73	34.58
65.0	2602.14	2572.7	2618.44	25.55
70.0	2581.35	2550.65	2615.8	32.74
75.0	2561.49	2423.57	2634.85	119.52
80.0	2565.55	2479.8	2626.88	76.52
85.0	2592.73	2491.65	2647.51	87.64
90.0	2556.37	2435.6	2621.23	104.69
95.0	2575.53	2525.98	2648.31	64.39
100.0	2546.64	2518.46	2602.48	48.36
105.0	2569.86	2523.13	2608.49	43.25
110.0	2579.87	2534.63	2666.9	75.39
115.0	2609.13	2583.77	2647.13	33.52
120.0	2580.95	2459.71	2703.27	121.78
125.0	2594.66	2522.5	2657.74	68.08
130.0	2585.64	2575.54	2601.31	13.76
135.0	2595.2	2570.89	2611.54	21.47
140.0	2635.85	2578.48	2711.71	68.51
145.0	2576.02	2497.1	2635.08	71.1
150.0	2642.56	2600.28	2666.2	36.7
155.0	2569.34	2370.73	2721.45	179.92
160.0	2597.72	2504.99	2729.66	117.36
165.0	2629.8	2624.07	2635.02	5.49
170.0	2573.85	2487.15	2628.21	75.89
175.0	2625.66	2529.24	2690.94	85.23
180.0	2610.52	2569.05	2682.48	62.56
185.0	2604.78	2511.19	2692.17	90.65
190.0	2587.08	2472.6	2760.27	152.56
195.0	2616.83	2544.34	2728.49	98.13
200.0	2630.37	2597.23	2682.93	46.03
205.0	2609.49	2537.08	2680.39	71.67
210.0	2622.35	2556.93	2706.59	76.58
215.0	2601.63	2540.01	2668.97	64.67
220.0	2691.42	2566.77	2908.08	188.34
225.0	2594.54	2504.16	2667.11	82.92
230.0	2581.07	2522.38	2668.62	77.27
235.0	2620.89	2485.21	2747.61	131.43
240.0	2655.63	2613.01	2705.53	46.69
245.0	2587.46	2524.57	2676.79	79.48
250.0	2569.37	2545.69	2584.5	20.77
255.0	2652.22	2642.18	2658.39	8.77
260.0	2709.98	2671.39	2753.59	41.33
265.0	2661.27	2408.83	2793.65	218.7
270.0	2627.09	2533.78	2792.71	143.82
275.0	2660.87	2620.12	2700.47	40.19
280.0	2672.41	2581.41	2776.95	98.47
285.0	2698.14	2635.81	2786.63	78.74
290.0	2704.3	2660.23	2779.61	65.53
295.0	2675.07	2628.94	2711.42	42.1
300.0	2681.05	2650.43	2711.3	30.44
