rtt	avg	min	max	stddev
10.0	2539.99	2459.52	2632.52	87.13
15.0	2595.11	2573.46	2623.75	25.86
20.0	2561.44	2520.28	2600.31	40.06
25.0	2560.77	2514.56	2588.23	40.26
30.0	2586.37	2516.11	2706.16	104.26
35.0	2526.76	2415.66	2600.46	97.91
40.0	2511.22	2412.34	2621.27	104.91
45.0	2552.98	2439.62	2650.78	106.44
50.0	2550.62	2406.74	2626.44	124.67
55.0	2599.46	2548.29	2643.1	47.85
60.0	2557.65	2518.43	2612.91	49.24
65.0	2547.98	2535.59	2565.94	15.92
70.0	2561.78	2546.13	2572.75	13.91
75.0	2587.15	2430.0	2711.81	143.69
80.0	2554.0	2503.39	2611.41	54.33
85.0	2566.13	2522.46	2588.13	37.82
90.0	2515.77	2435.77	2599.21	81.77
95.0	2581.17	2455.32	2690.33	118.39
100.0	2500.85	2479.79	2526.6	23.75
105.0	2564.61	2451.96	2626.21	97.7
110.0	2533.59	2417.93	2648.5	115.29
115.0	2531.87	2443.73	2637.89	98.31
120.0	2494.22	2433.02	2574.02	72.32
125.0	2589.3	2438.24	2719.98	141.97
130.0	2533.06	2504.73	2554.17	25.5
135.0	2573.32	2467.5	2662.81	98.67
140.0	2553.55	2440.35	2635.54	101.27
145.0	2562.23	2524.13	2618.79	49.96
150.0	2583.65	2530.99	2646.43	58.38
155.0	2575.75	2471.65	2654.36	93.98
160.0	2566.35	2471.29	2687.59	110.5
165.0	2532.29	2455.9	2613.62	78.98
170.0	2566.47	2447.88	2640.68	103.78
175.0	2579.25	2545.53	2597.86	29.26
180.0	2574.76	2466.16	2715.34	127.63
185.0	2518.8	2416.67	2579.57	88.98
190.0	2571.83	2482.79	2629.0	78.14
195.0	2595.06	2489.64	2706.17	108.38
200.0	2601.32	2549.94	2650.42	50.28
205.0	2544.07	2499.37	2611.39	59.34
210.0	2544.84	2517.65	2581.38	32.88
215.0	2575.76	2550.45	2595.51	23.04
220.0	2635.49	2520.36	2714.87	102.07
225.0	2523.01	2512.06	2542.49	16.91
230.0	2547.26	2437.53	2654.57	108.54
235.0	2501.04	2444.06	2583.7	73.27
240.0	2567.06	2481.91	2660.4	89.53
245.0	2549.53	2391.32	2688.08	149.35
250.0	2569.34	2493.16	2629.15	69.46
255.0	2554.23	2488.07	2610.41	61.78
260.0	2553.24	2513.3	2589.07	38.05
265.0	2555.29	2470.07	2666.96	101.07
270.0	2570.34	2442.73	2703.71	130.59
275.0	2557.74	2523.66	2612.87	48.18
280.0	2568.06	2453.33	2676.3	111.63
285.0	2526.48	2470.21	2575.78	53.13
290.0	2579.64	2562.68	2596.06	16.7
295.0	2570.01	2482.63	2622.78	76.21
300.0	2566.51	2473.9	2673.56	100.61
